,player,assists,championsKilled,goldEarned,individualPosition,minionsKilled,neutralMinionsKilled,numDeaths,skin,team,visionWardsBoughtInGame,win
0,ML狼,7,3,11964,MIDDLE,261,4,2,Seraphine,100,2,Fail
1,Ñight,2,2,10368,TOP,227,9,6,Renekton,100,4,Fail
2,Raraku,7,2,7439,UTILITY,42,0,11,Nautilus,100,11,Fail
3,soutou,4,3,10646,BOTTOM,168,4,10,Aphelios,100,2,Fail
4,弁天町5520001,7,2,10480,JUNGLE,8,176,8,Olaf,100,3,Fail
5,ナウナヤングマン,16,3,12359,TOP,193,0,1,Shen,200,5,Win
6,のっぺぃ,10,14,14645,JUNGLE,26,163,3,FiddleSticks,200,8,Win
7,Пудинг,10,15,18002,BOTTOM,250,29,1,Zeri,200,2,Win
8,workman0215,6,4,11468,MIDDLE,194,4,3,Veigar,200,5,Win
9,miz0chi,24,0,8797,UTILITY,33,0,4,Blitzcrank,200,10,Win
